OPTION_ID,SYSTEM_NM,SUBSYSTEM_NM,COMPONENT_GROUP,OPTION_NM,COST_USD,WEIGHT_LBS,SOURCE_COUNTRY,PERFORMANCE_CATEGORY,PERFORMANCE_SCORE,DESCRIPTION,OPTION_TIER,SPECS
4,Cab,Cab Structure,Cab Type,Sleeper 48-inch Flat Roof,6500.00,1800.00,USA,Comfort,3.0,Compact sleeper for budget-conscious fleets.,STANDARD,"{""cab_class"":""compact-sleeper"",""cab_type"":""sleeper"",""interior_height_in"":65,""sleeper_length_in"":48}"
6,Cab,Cab Structure,Cab Type,Sleeper 72-inch Mid Roof,12000.00,2200.00,USA,Comfort,4.5,Mid-roof sleeper with stand-up height.,PREMIUM,"{""cab_class"":""mid-roof"",""cab_type"":""sleeper"",""interior_height_in"":76,""sleeper_length_in"":72}"
7,Cab,Cab Structure,Cab Type,Sleeper 80-inch Raised Roof,22000.00,2600.00,USA,Comfort,5.0,Full-height raised roof sleeper.,FLAGSHIP,"{""cab_class"":""raised-roof"",""cab_type"":""sleeper"",""interior_height_in"":84,""sleeper_length_in"":80}"
14,Cab,Interior,Interior Trim,Vinyl Work Trim,0.00,120.00,Mexico,Comfort,1.0,Durable vinyl surfaces for work applications.,ENTRY,"{""durability"":""work-grade"",""material"":""vinyl"",""trim_level"":1}"
20,Cab,Interior,Seating Configuration,Fixed Base Driver Seat,0.00,85.00,Mexico,Comfort,1.0,Fixed position driver seat with basic adjustment.,ENTRY,"{""heating"":false,""seat_type"":""fixed-base"",""suspension"":""none"",""ventilation"":false}"
26,Cab,Sleeper Compartment,Bunk Configuration,No Sleeper (Day Cab),0.00,0.00,USA,Comfort,1.0,Day cab configuration - no sleeping quarters.,ENTRY,"{""bunk_type"":""none"",""bunk_width_in"":0,""mattress"":""none""}"
31,Cab,Sleeper Compartment,Sleeper Amenities,No Sleeper Amenities,0.00,0.00,USA,Comfort,1.0,Day cab or basic sleeper - no amenities.,ENTRY,"{""amenity_level"":0,""features"":[]}"
34,Cab,Sleeper Compartment,Sleeper Amenities,Premium Sleeper Package,5500.00,145.00,USA,Comfort,4.0,"Microwave, larger fridge, TV mount.",PREMIUM,"{""amenity_level"":3,""features"":[""microwave"",""fridge"",""TV-mount""]}"
35,Cab,Sleeper Compartment,Sleeper Amenities,Luxury Living Package,12000.00,220.00,USA,Comfort,5.0,"Full kitchen, diesel generator, smart TV.",FLAGSHIP,"{""amenity_level"":4,""features"":[""kitchen"",""generator"",""smart-TV""]}"
40,Chassis,Fifth Wheel,Fifth Wheel Type,Air-Slide Fifth Wheel,4500.00,320.00,USA,Hauling,3.5,Air-powered sliding mechanism.,PREMIUM,"{""fifth_wheel_class"":""air-slide"",""gcwr_rating_lb"":85000,""king_pin_size_in"":2.5}"
42,Chassis,Fifth Wheel,Fifth Wheel Type,Heavy-Haul Fifth Wheel,8500.00,480.00,USA,Hauling,5.0,Maximum GCWR capability.,FLAGSHIP,"{""fifth_wheel_class"":""heavy-haul"",""gcwr_rating_lb"":120000,""king_pin_size_in"":3.5}"
47,Chassis,Frame Assembly,Frame Rails,Extra Heavy-Duty Frame,7500.00,3800.00,USA,Durability,3.5,Full-length reinforcement.,PREMIUM,"{""frame_class"":""extra-heavy"",""rbm_rating_in_lb"":3200000,""yield_strength_psi"":120000}"
49,Chassis,Frame Assembly,Frame Rails,Vocational Heavy-Haul Frame,14000.00,4500.00,USA,Durability,5.0,Max RBM rating.,FLAGSHIP,"{""frame_class"":""vocational"",""rbm_rating_in_lb"":3800000,""yield_strength_psi"":140000}"
53,Chassis,Frame Assembly,Wheelbase,Standard Wheelbase 210-inch,800.00,45.00,USA,Hauling,3.0,General freight.,STANDARD,"{""application"":""general-freight"",""turning_radius_ft"":32,""wheelbase_in"":210}"
55,Chassis,Frame Assembly,Wheelbase,Extended Wheelbase 245-inch,1800.00,95.00,USA,Hauling,4.5,Larger sleepers.,PREMIUM,"{""application"":""sleeper"",""turning_radius_ft"":40,""wheelbase_in"":245}"
56,Chassis,Frame Assembly,Wheelbase,Long Wheelbase 280-inch,3500.00,150.00,USA,Hauling,5.0,Heavy haul.,FLAGSHIP,"{""application"":""heavy-haul"",""turning_radius_ft"":48,""wheelbase_in"":280}"
